Tumor_Sample,Total Mutation Burden ,TYPE
MB-REC-06Ê-P,11.5015015,PRIMARY
MB-REC-06 -R,9.51951952,RECURRENT
MB-REC-16Ê-P,6.456456456,PRIMARY
MB-REC-16 -R,6.936936937,RECURRENT
MB-REC-44 -R,37.4774775,RECURRENT
MB-REC-26 -R,39.4594595,RECURRENT
