Tumor_Sample,Frame_Shift Deletion,Frame_Shift Insertion,In_Frame_Del,In_Frame_Ins,Frameshift_Mutations,Missense_Mutation,Nonsense_Mutation,Splice_Site,Total mutations,TMD/MB (Coding region 33.2),Intron,3'Flank,5'Flank,3'UTR,5'UTR,Silent,Splice_Region,Deletion,Insertion,SNPs,Total,TYPE
MB-REC-30,0,1,1,0,2,46,0,0,48,1.445783133,3623,464,449,69,13,45,1,370,489,7402,8261,RECURRENT
MB-REC-24,5,1,2,0,8,31,1,1,41,1.234939759,3448,453,410,57,9,12,4,676,1586,5947,8209,RECURRENT
MB-REC-32,5,0,1,1,7,55,2,5,69,2.078313253,3645,480,512,50,22,34,4,671,232,7198,8101,RECURRENT
MB-REC-42,9,5,0,2,16,33,8,3,60,1.807228916,2993,386,401,40,4,8,3,850,1567,4901,7318,RECURRENT
MB-REC-01,1,0,0,0,1,37,3,1,42,1.265060241,3192,399,383,44,9,13,8,531,203,6383,7117,RECURRENT
MB-REC-28,0,0,0,0,0,38,2,5,45,1.355421687,2846,426,393,43,12,13,4,216,68,6666,6950,RECURRENT
MB-REC-45,8,1,1,1,11,47,3,4,65,1.957831325,2880,374,402,44,16,18,2,510,168,6080,6758,RECURRENT
MB-REC-39,0,0,0,0,0,38,2,3,43,1.295180723,2586,396,359,49,7,14,8,240,193,5817,6250,RECURRENT
MB-REC-23,0,0,0,0,0,24,0,0,24,0.722891566,2821,284,291,35,3,11,4,211,247,5210,5668,RECURRENT
MB-REC-18,3,0,0,0,3,23,1,0,27,0.813253012,2375,286,273,35,8,13,5,453,397,4232,5082,RECURRENT
MB-REC-47,4,2,0,0,6,40,5,1,52,1.56626506,1966,238,293,26,9,13,2,277,169,4186,4632,RECURRENT
MB-REC-27,3,2,0,1,6,23,2,2,33,0.993975904,1895,235,289,27,7,7,6,545,187,3430,4162,RECURRENT
MB-REC-34,6,2,0,0,8,31,6,3,48,1.445783133,1999,272,268,43,3,8,4,437,763,2908,4108,RECURRENT
MB-REC-40,0,2,0,3,5,40,5,2,52,1.56626506,1760,248,248,45,5,13,5,153,75,3607,3835,RECURRENT
MB-REC-33,3,2,0,0,5,41,2,2,50,1.506024096,1667,266,282,33,6,23,3,283,205,3346,3834,RECURRENT
MB-REC-31,7,0,0,0,7,27,4,2,40,1.204819277,1512,212,216,17,9,11,2,557,161,2619,3337,RECURRENT
MB-REC-46,3,2,0,0,5,30,2,0,37,1.114457831,1276,160,188,25,5,10,5,301,158,2479,2938,RECURRENT
MB-REC-22,0,1,0,1,2,28,0,0,30,0.903614458,1245,205,195,22,4,18,0,145,105,2686,2936,RECURRENT
MB-REC-35,0,2,0,1,3,15,0,0,18,0.542168675,1114,193,172,26,2,10,0,172,109,2426,2707,RECURRENT
MB-REC-19,0,0,0,1,1,19,2,2,24,0.722891566,1112,182,158,20,6,14,5,150,237,2247,2634,RECURRENT
MB-REC-43,4,0,0,1,5,20,2,2,29,0.873493976,1130,167,188,13,7,12,2,138,132,2332,2602,RECURRENT
MB-REC-21,3,2,0,0,5,21,1,0,27,0.813253012,1074,149,144,25,5,4,3,178,88,2163,2429,RECURRENT
