Tumor_Sample,Frame_Shift Deletion,Frame_Shift Insertion,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Splice_Site,Intron,3'Flank,5'Flank,3'UTR,5'UTR,Silent,Splice_Region,Deletion,Insertion,SNPs,Total,TYPE
MB-REC-46,3,2,0,0,30,2,0,1276,160,188,25,5,10,5,301,158,2479,2938,RECURRENT
MB-REC-22,0,1,0,1,28,0,0,1245,205,195,22,4,18,0,145,105,2686,2936,RECURRENT
MB-REC-35,0,2,0,1,15,0,0,1114,193,172,26,2,10,0,172,109,2426,2707,RECURRENT
MB-REC-19,0,0,0,1,19,2,2,1112,182,158,20,6,14,5,150,237,2247,2634,RECURRENT
MB-REC-43,4,0,0,1,20,2,2,1130,167,188,13,7,12,2,138,132,2332,2602,RECURRENT
MB-REC-21,3,2,0,0,21,1,0,1074,149,144,25,5,4,3,178,88,2163,2429,RECURRENT
MB-REC-29,0,0,0,0,20,0,1,900,138,152,18,3,10,0,144,116,1808,2086,RECURRENT
MB-REC-06 ,9,9,6,14,1634,14,23,240694,274540,26774,3902,592,1814,421,188123,15749,467323,501195,PRIMARY
MB-REC-16 ,72,650,17,278,250,212,33,94547,9238,9029,1450,153,67,136,9719,143242,40772,193733,PRIMARY
MB-REC-11,1,1,0,0,49,5,2,2958,458,423,44,8,25,3,375,302,6509,7186,PRIMARY
MB-REC-14,1,1,0,0,46,2,2,2757,352,397,40,5,19,7,268,255,6257,6780,PRIMARY
MB-REC-04,2,4,0,0,33,2,3,2131,364,408,33,5,21,3,201,355,4532,5068,PRIMARY
MB-REC-05,0,1,0,0,34,2,3,2212,266,299,42,2,11,2,138,131,4565,4834,PRIMARY
MB-REC-15,0,3,0,0,27,6,0,1841,249,274,25,2,9,3,391,469,3649,4509,PRIMARY
MB-REC-09,1,1,0,0,24,0,0,1416,193,180,21,6,11,1,226,1030,2267,3523,PRIMARY
MB-REC-02,0,0,0,0,24,1,5,1489,206,230,21,3,7,2,101,65,3008,3174,PRIMARY
MB-REC-12,0,0,0,0,13,1,0,844,159,139,17,1,9,3,135,137,1829,2101,PRIMARY
MB-REC-03,0,0,0,0,13,0,0,905,146,129,14,3,3,2,149,109,1813,2071,PRIMARY
MB-REC-08,0,0,0,0,13,2,2,793,171,180,17,2,10,0,114,93,1718,1925,PRIMARY
MB-REC-13,1,0,1,1,12,0,0,785,114,108,12,5,3,5,114,72,1677,1864,PRIMARY
MB-REC-08,0,0,1,0,9,0,1,576,107,137,10,3,5,1,93,108,1368,1569,PRIMARY
MB-REC-10,0,0,0,0,7,0,0,386,77,80,5,3,3,2,83,85,796,964,PRIMARY
,,,,,,,,,,,,,,,,,,,
